TEAM,PICK
Brooklyn Nets,2027 1st Round Pick (via NYK)
Brooklyn Nets,2027 2nd Round Pick (via LAL)
Brooklyn Nets,2028 1st Round Pick (via PHI; protected 1-8)
Houston Rockets,2027 1st Round Pick Swap Right (with BKN)
Atlanta Hawks,2026 1st Round Pick (via NOP)
LA Clippers,2026 1st Round Pick (via IND)
Oklahoma City Thunder,2026 1st Round Pick (via LAC)
Miami Heat,2026 1st Round Pick (via MIL; no protections)
Chicago Bulls,2026 1st Round Pick (via POR)
Memphis Grizzlies,2026 1st Round Pick (via PHX)
