PLAYER_NAME,SEASON,SALARY
Stephen Curry,2025-26,59606817
Joel Embiid,2025-26,55224526
Nikola Jokic,2025-26,55224526
Kevin Durant,2025-26,54708609
Karl-Anthony Towns,2025-26,54126450
Giannis Antetokounmpo,2025-26,54126450
Luka Doncic,2025-26,54126450
Jimmy Butler,2025-26,54126450
Anthony Davis,2025-26,54126450
Jayson Tatum,2025-26,54126450
Bradley Beal,2025-26,53666270
Devin Booker,2025-26,53142264
Jaylen Brown,2025-26,53142264
LeBron James,2025-26,52627153
Paul George,2025-26,51666090
Kawhi Leonard,2025-26,50000000
Zach LaVine,2025-26,47499660
Trae Young,2025-26,46394100
Lauri Markkanen,2025-26,46394100
Cade Cunningham,2025-26,46394100
Jamal Murray,2025-26,46394100
Evan Mobley,2025-26,46394100
Donovan Mitchell,2025-26,46394100
Anthony Edwards,2025-26,45600000
Tyrese Haliburton,2025-26,45600000
Pascal Siakam,2025-26,45600000
Jalen Brunson,2025-26,34944001
Alperen Sengun,2025-26,33944954
Jalen Green,2025-26,33584499
Khris Middleton,2025-26,33296296
